"vtkOriginalPointIds,""Points:0"",""Points:1"",""Points:2"""
4192,-0.00470357,-0.00232542,-0.00339854
5853,-0.00451021,-0.00316438,-0.00254619
7103,-0.00428569,-0.00372947,-0.00185514
8403,-0.00392208,-0.00425986,-0.00116136
10152,-0.00312295,-0.00481322,-0.000446744
11976,-0.00208209,-0.00522612,-1.97896e-05
15603,-1.58321e-14,-0.00587103,0.000476163
19227,0.00208209,-0.00522612,-1.97896e-05
21056,0.00312295,-0.00481322,-0.000446744
22811,0.00392208,-0.00425986,-0.00116136
24118,0.00428569,-0.00372947,-0.00185514
25376,0.00451021,-0.00316438,-0.00254619
27051,0.00470357,-0.00232542,-0.00339854
7562,-0.00424759,0.00128855,0.00123606
9284,-0.00346653,0.00169921,0.00225657
10660,-0.00270584,0.00204861,0.00275987
12500,-0.00169401,0.00200858,0.00302565
14226,-0.000752398,0.00148826,0.0029818
17160,0.000752398,0.00148826,0.0029818
18893,0.00169401,0.00200858,0.00302565
20732,0.00270584,0.00204861,0.00275987
22095,0.00346653,0.00169921,0.00225657
23803,0.00424759,0.00128855,0.00123606
15682,1.16425e-15,8.9338e-05,0.00309881
15674,-3.69803e-16,-0.000519911,0.00349394
10509,-0.00272935,0.00124919,0.00231049
11635,-0.0020542,0.00127458,0.00240126
11628,-0.00203175,0.000735122,0.00212743
10503,-0.00269038,0.000812388,0.00206541
19738,0.0020542,0.00127458,0.00240126
20860,0.00272935,0.00124919,0.00231049
20854,0.00269038,0.000812388,0.00206541
19731,0.00203175,0.000735122,0.00212743
14174,-0.000987533,-0.00286826,0.00254046
17108,0.000987533,-0.00286826,0.00254046
16948,0.000896531,-0.00390611,0.00192771
16218,0.000393964,-0.00410381,0.00201061
15037,-0.000393964,-0.00410381,0.00201061
14306,-0.000896531,-0.00390611,0.00192771
13585,-0.00140066,-0.003312,-0.003312
15049,-0.000388461,-0.00306543,0.00237684
15642,-7.60861e-15,-0.0030656,0.00246145
16230,0.000388461,-0.00306543,0.00237684
17679,0.00140066,-0.003312,-0.003312
16223,0.000395011,-0.00361237,0.00209312
15635,-9.10202e-15,-0.00357798,0.00209949
15042,-0.000395011,-0.00361237,0.00209312
14718,-0.000544033,-0.00581422,0.000494923
16484,0.000544033,-0.00581422,0.000494923